Date,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU,NDX
1987-12-31,254.8854,120.306,757.45,100.0,321.46,174.91,802.51,164.33,484.1,156.25
1988-01-29,265.6065,125.323,770.13,109.42,332.76,180.76,846.49,166.63,458.0,159.13
1988-02-29,277.9877,136.332,820.63,109.68,336.71,186.61,878.86,163.79,426.15,172.64
1988-03-31,269.3999,142.497,870.17,120.64,333.55,184.67,883.23,171.2,456.95,173.26
1988-04-29,272.3796,145.599,881.86,126.27,331.75,186.08,889.37,175.01,449.0,175.92
1988-05-31,274.7355,141.426,852.69,129.62,329.52,186.36,876.25,177.99,455.5,173.34
1988-06-30,287.3431,151.256,829.33,133.71,337.47,189.08,906.69,171.27,436.55,189.03
1988-07-29,286.2536,149.651,854.47,129.92,335.7,190.32,916.38,169.45,436.8,181.16
1988-08-31,276.5303,145.418,798.04,125.92,336.58,190.04,912.1,167.56,427.75,171.0
1988-09-30,288.312,149.031,832.02,133.74,344.2,192.43,917.24,162.18,397.7,179.37
1988-10-31,296.3396,147.192,902.29,132.54,350.68,194.76,913.22,166.99,412.4,174.78
1988-11-30,292.1163,142.034,955.06,131.76,346.42,195.91,894.73,174.01,422.6,169.19
1988-12-30,297.2123,147.281,959.4,134.87,346.81,196.83,910.74,184.41,410.25,177.41
1989-01-31,318.937,153.703,975.35,132.66,351.8,200.3,930.92,181.64,394.0,186.47
1989-02-28,310.9889,154.564,979.41,142.52,349.25,200.74,928.15,186.39,387.0,183.79
1989-03-31,318.2438,158.0,959.23,155.99,350.76,199.17,932.46,197.62,383.2,185.87
1989-04-28,334.7671,164.712,967.15,184.24,358.1,200.01,958.81,197.61,377.55,200.47
1989-05-31,348.3112,171.516,913.6,186.08,367.51,203.89,967.76,188.54,361.8,214.55
1989-06-30,346.3357,167.371,897.3,163.28,378.7,206.42,986.52,189.27,373.0,204.59
1989-07-31,377.6067,173.632,1008.99,173.49,386.75,206.15,1022.98,179.55,368.3,214.28
1989-08-31,384.9886,177.515,962.66,177.0,381.02,206.85,1032.42,183.95,359.8,222.01
1989-09-29,383.4265,177.821,1005.5,198.98,382.97,203.37,1022.76,193.22,366.5,226.42
1989-10-31,374.5234,167.09,964.1,201.31,392.4,198.55,996.38,189.81,375.3,222.62
1989-11-30,382.1615,167.919,1011.55,191.64,396.14,198.16,993.25,192.05,408.15,224.44
1989-12-29,391.339,168.228,1047.86,214.7,397.2,198.47,991.26,207.25,401.25,223.84
1990-01-31,365.0643,153.333,1007.8,221.27,392.48,194.21,950.14,198.83,415.05,201.94
1990-02-28,369.747,157.799,936.39,229.76,393.75,190.2,943.47,195.94,407.7,207.92
1990-03-30,379.5275,163.69,837.74,197.85,394.04,195.19,952.88,198.61,368.5,213.15
1990-04-30,370.0314,158.157,830.0,210.66,390.43,194.86,936.32,193.94,367.75,205.81
1990-05-31,406.0756,169.061,923.6,227.6,401.99,198.62,935.6,189.81,363.05,236.15
1990-06-29,403.3254,169.166,914.3,235.14,408.44,203.42,951.76,184.18,352.2,238.46
1990-07-31,402.0175,161.505,925.96,255.21,414.09,208.9,943.09,196.8,372.3,223.39
1990-08-31,365.6508,139.6,834.82,221.94,408.56,197.01,875.17,225.45,387.75,193.62
1990-09-28,347.8346,126.993,717.24,193.09,411.94,182.63,813.28,270.19,408.4,177.06
1990-10-31,346.3422,119.046,827.71,189.25,417.17,173.04,785.86,249.37,379.5,172.56
1990-11-30,368.7052,127.806,777.6,178.96,426.15,178.44,841.63,227.61,384.85,192.66
1990-12-31,378.9568,132.401,788.98,185.16,432.79,179.44,839.09,219.97,382.8,200.53
1991-01-31,395.4402,144.183,813.17,200.19,438.14,184.37,930.88,194.4476,366.0,232.43
1991-02-28,423.6854,159.96,899.06,229.63,441.88,204.54,947.73,191.2345,362.7,250.12
1991-03-29,433.9558,171.01,843.88,238.23,444.92,216.59,1029.89,194.1259,355.65,264.9
1991-04-30,434.9568,170.333,851.01,238.95,449.74,225.47,1055.97,195.998,357.75,263.65
1991-05-31,453.7196,178.147,858.71,256.97,452.37,225.88,1067.71,192.89,360.4,279.0
1991-06-28,432.9286,167.512,794.46,247.27,452.14,232.56,1037.91,185.4473,368.35,254.19
1991-07-31,453.0968,173.121,832.3,259.51,458.41,240.0,1058.85,191.8876,362.85,272.15
1991-08-30,463.7781,179.193,814.18,264.27,468.33,245.52,1054.57,192.6421,347.4,287.4
1991-09-30,456.017,180.328,858.85,253.84,477.82,248.94,1080.39,193.9276,354.9,287.54
1991-10-31,462.1429,184.899,869.77,263.96,483.14,257.25,1068.52,198.5509,357.45,292.51
1991-11-29,443.5005,176.059,827.91,259.77,487.57,258.59,1062.58,190.1044,366.3,284.79
1991-12-31,494.1986,189.8,869.35,288.8,502.05,262.31,1138.61,176.9177,353.15,330.86
1992-01-31,484.9907,205.013,849.52,322.13,495.22,271.55,1194.06,182.3528,354.1,338.31
1992-02-28,491.2659,210.691,817.86,335.97,498.44,278.25,1165.5,181.7778,353.75,345.88
1992-03-31,481.7087,203.259,762.62,346.58,495.63,281.7,1146.15,184.7368,341.7,323.05
1992-04-30,495.8489,195.932,764.95,342.45,499.21,282.77,1142.08,190.1203,336.35,307.86
1992-05-29,498.3164,198.225,814.85,340.42,508.63,286.76,1191.99,193.0193,337.5,315.3
1992-06-30,490.9035,188.56,774.89,305.52,515.63,289.46,1176.38,190.8873,343.4,301.23
1992-07-31,510.9576,194.906,753.7,308.38,526.15,293.83,1227.49,186.6917,357.85,310.9
1992-08-31,500.4968,189.108,799.58,293.44,531.48,297.68,1231.27,186.3997,342.0,299.26
1992-09-30,506.3797,193.16,782.45,294.07,537.79,300.71,1256.65,187.0465,350.0,313.18
1992-10-30,508.1272,199.082,740.17,309.63,530.65,296.47,1255.04,182.4082,341.0,329.15
1992-11-30,525.4254,214.011,745.94,306.06,530.77,300.2,1281.61,180.0958,336.0,350.96
1992-12-31,531.865,221.157,748.62,314.93,539.21,303.63,1304.73,181.0064,334.5,360.18
1993-01-29,536.3117,228.456,747.35,316.19,549.55,312.46,1388.46,183.3482,332.5,370.7683
1993-02-26,543.6174,222.899,768.77,321.23,559.17,317.97,1463.11,186.5014,329.5,351.8609
1993-03-31,555.094,229.796,834.6,331.3,561.5,322.06,1587.08,190.171,339.0,360.407
1993-04-30,541.6756,223.273,912.59,337.12,565.41,324.87,1517.18,187.6663,356.0,341.1274
1993-05-31,556.1517,232.13,930.65,345.39,566.13,328.73,1493.13,181.2161,374.75,369.8931
1993-06-30,557.7705,233.988,914.94,354.82,576.39,335.63,1541.53,175.9696,378.1,368.137
1993-07-30,555.5293,237.018,945.8,363.23,579.65,338.87,1568.45,174.0556,407.3,355.0762
1993-08-31,576.5973,246.937,995.68,393.46,589.81,341.73,1607.18,175.8414,372.1,375.4882
1993-09-30,572.1531,253.616,972.07,407.47,591.43,342.61,1685.64,177.357,355.4,385.8444
1993-10-29,583.9886,259.945,1000.85,443.78,593.64,349.55,1653.5,171.4164,369.5,394.4083
1993-11-30,578.4206,251.085,912.19,463.17,588.59,351.23,1563.83,165.0651,370.7,390.6811
1993-12-31,585.4001,259.338,976.9,539.34,591.78,355.6,1561.17,163.5542,390.7,402.5912
1994-01-31,605.3056,267.261,1058.31,548.88,599.77,363.32,1606.61,177.3524,381.9,418.5149
1994-02-28,588.8754,266.009,1054.18,538.78,589.35,362.37,1676.38,171.232,381.75,416.9039
1994-03-31,563.211,251.641,1007.54,489.21,574.82,348.68,1614.31,170.3859,391.0,387.4522
1994-04-29,570.4325,252.948,1049.07,478.36,570.23,346.29,1641.72,174.5563,377.05,377.7251
1994-05-31,579.796,249.761,1041.82,493.66,570.15,346.47,1678.26,176.7601,387.3,383.6399
1994-06-30,565.5952,240.962,1055.28,479.18,568.89,347.54,1644.03,180.0834,386.3,364.9603
1994-07-29,584.1487,244.671,1064.17,508.73,580.19,350.49,1635.99,182.5207,383.6,375.067
1994-08-31,608.0984,257.918,1088.09,571.3,580.91,352.97,1640.88,170.2628,386.6,403.2099
1994-09-30,593.2135,256.69,1052.51,577.29,572.36,352.99,1610.41,171.4158,394.25,399.1058
1994-10-31,606.542,255.407,1086.22,566.11,571.85,353.83,1554.55,179.036,384.5,418.562
1994-11-30,584.4527,244.736,1032.7,536.0,570.58,349.37,1501.09,175.1664,381.4,410.2222
1994-12-30,593.0919,250.872,1037.86,492.58,574.52,351.94,1610.67,180.7578,383.2,409.6649
1995-01-31,608.4721,247.4888,996.6922,439.84,585.89,356.71,1575.5,176.0039,375.1,410.8205
1995-02-28,632.1851,257.7615,993.2455,428.462,599.82,368.94,1614.41,177.1083,377.1,438.5861
1995-03-31,650.8361,262.1937,1057.282,430.6565,603.5,372.91,1607.94,179.0597,391.4,453.5817
1995-04-28,670.0007,268.0165,1096.9636,449.8274,611.93,382.4,1607.53,183.6347,387.1,476.4309
1995-05-31,696.765,272.6089,1086.6575,473.0942,635.61,393.12,1675.84,180.8068,384.3,495.4575
1995-06-30,712.9458,286.7403,1069.3109,474.0457,640.27,395.62,1702.51,174.4889,384.6,546.2571
1995-07-31,736.5872,303.2586,1135.7756,484.7779,638.84,400.62,1731.85,177.3371,382.6,577.6964
1995-08-31,738.417,309.5235,1091.9835,473.4542,646.55,401.87,1752.64,180.5308,382.75,585.9224
1995-09-29,769.5818,315.045,1114.6263,471.3992,652.84,406.81,1782.69,181.0815,384.0,594.4692
1995-10-31,766.823,300.9524,1083.9003,453.3418,661.33,409.32,1744.5,183.1156,383.0,608.5132
1995-11-30,800.4664,313.599,1113.6821,445.4026,671.24,412.93,1760.45,187.9269,387.8,603.5548
1995-12-29,815.8517,321.8696,1158.2296,465.0847,680.66,419.42,1856.57,203.4971,387.1,586.0988
1996-01-31,843.5693,321.5318,1162.0688,498.1772,685.18,426.8,1887.12,196.8141,406.3,602.0506
1996-02-29,851.3805,331.5535,1165.2313,490.2112,673.27,427.14,1909.21,197.696,400.75,633.7099
1996-03-29,859.5743,338.3102,1191.9701,493.9824,668.59,426.85,1898.79,206.664,395.45,620.3571
1996-04-30,872.2192,356.393,1227.2816,513.7409,664.83,427.79,1908.42,209.3274,391.65,678.4972
1996-05-31,894.6517,370.4323,1207.5638,511.3575,663.48,430.36,1957.73,203.8712,391.0,704.7564
1996-06-28,898.0497,355.2349,1216.1966,514.4964,672.39,433.92,1983.25,206.5216,380.45,689.4773
1996-07-31,858.3517,324.2071,1180.6528,479.1651,674.23,435.94,1998.22,194.652,387.05,647.5593
1996-08-30,876.4606,343.017,1183.1884,491.3437,673.1,440.65,2076.88,198.515,386.5,675.7385
1996-09-30,925.795,356.42,1215.5419,495.69,684.83,451.27,2113.03,205.2159,378.4,751.1318
1996-10-31,951.3133,350.9221,1202.3868,482.3556,700.0,454.74,2175.76,204.9208,378.05,765.9329
1996-11-29,1023.2145,365.3817,1249.6592,490.2312,711.99,463.71,2274.89,218.9817,371.65,849.5925
1996-12-31,1002.9199,374.9409,1233.1943,492.2327,705.37,467.03,2511.32,215.2563,367.7,836.8358
1997-01-31,1065.5599,382.4347,1189.0743,525.9229,707.53,471.59,2539.38,204.9099,344.35,939.0094
1997-02-28,1073.9116,373.1628,1207.8574,548.3042,709.29,479.39,2534.19,188.8185,363.45,866.6757
1997-03-31,1029.7897,355.5438,1214.2473,533.0542,701.43,472.25,2528.8,192.4289,351.25,812.3026
1997-04-30,1091.2373,356.5432,1221.3768,533.1634,711.93,477.23,2459.21,196.7678,339.5,891.5693
1997-05-30,1157.6713,396.1971,1304.0239,547.8842,718.66,487.44,2531.51,197.3687,344.65,977.3547
1997-06-30,1209.5387,413.1682,1378.1332,576.8734,727.19,494.2,2654.55,185.1689,333.95,975.8374
1997-07-31,1305.7207,432.3879,1400.4983,584.9385,746.8,507.77,2736.55,192.2873,324.55,1128.6011
1997-08-29,1232.5331,442.276,1295.8441,510.1983,740.43,506.62,2730.0,195.7684,324.15,1095.1639
1997-09-30,1300.0326,474.6512,1369.5225,524.0078,751.35,516.66,2968.26,201.7335,334.45,1118.6676
1997-10-31,1256.6021,453.804,1263.2247,437.8573,762.25,517.12,2888.03,208.1534,311.45,1039.7101
1997-11-28,1314.7822,450.87,1249.7413,421.8709,765.76,522.06,2950.45,188.6889,297.0,1071.2814
1997-12-31,1337.3331,458.7616,1260.1622,431.6032,773.47,526.64,3020.11,175.623,289.05,1010.616
1998-01-30,1352.1099,451.528,1316.619,397.6052,783.4,536.12,3004.15,174.2636,302.45,1092.6407
1998-02-27,1449.6294,484.9099,1400.4469,439.0956,782.81,539.26,2953.03,165.0984,299.15,1218.1904
1998-03-31,1523.8517,504.898,1446.1176,457.6562,785.5,544.32,3006.02,166.715,300.95,1245.555
1998-04-30,1539.1459,507.7189,1458.2825,453.0487,789.6,546.47,2908.1,163.8963,306.65,1273.6795
1998-05-29,1512.6438,480.3775,1454.1524,390.346,797.09,548.37,2887.73,158.2691,292.95,1216.5248
1998-06-30,1574.072,481.4406,1468.0667,349.4439,803.85,550.34,2868.18,155.1993,296.95,1364.8341
1998-07-31,1557.2929,442.4672,1482.4969,359.9043,805.56,553.47,2681.98,143.6022,286.45,1405.631
1998-08-31,1332.1354,356.5553,1299.0106,254.9489,818.67,522.93,2428.88,136.9596,275.55,1163.9434
1998-09-30,1417.4786,384.4602,1259.6479,270.8999,837.84,525.29,2566.38,153.7656,296.95,1373.3896
1998-10-30,1532.7633,400.1531,1389.9503,299.6062,833.42,514.53,2518.87,148.4851,292.55,1429.5984
1998-11-30,1625.6573,421.1159,1460.7118,324.4972,838.14,535.88,2555.96,133.4806,293.2,1590.43
1998-12-31,1719.3001,447.1855,1517.2732,319.4081,840.66,536.47,2491.53,133.019,288.25,1874.5045
1999-01-29,1791.1947,453.1303,1511.5464,314.6365,846.66,544.43,2439.47,135.2692,286.15,2171.8386
1999-02-26,1735.5131,416.4263,1474.6938,317.8123,831.88,541.23,2382.18,130.8113,287.05,1965.9252
1999-03-31,1804.947,422.9189,1539.6194,359.5745,836.49,546.39,2371.43,153.9354,280.05,2151.1836
1999-04-30,1874.8295,460.817,1603.0924,403.9328,839.14,556.98,2596.46,160.9771,286.55,2181.9019
1999-05-31,1830.5522,466.7034,1527.1859,401.5513,831.79,549.44,2653.5,152.2197,270.35,2134.4014
1999-06-30,1932.1431,488.6654,1589.161,447.1151,829.14,548.27,2610.53,163.362,262.5,2345.94
1999-07-30,1871.7942,475.2424,1636.0638,434.6861,825.61,550.47,2527.46,169.1718,255.95,2319.6762
1999-08-31,1862.5566,457.7896,1642.9379,438.7812,825.19,544.39,2495.34,181.6245,255.68,2448.4885
1999-09-30,1811.4935,457.8833,1660.01,423.864,834.77,540.47,2400.6,191.063,298.75,2459.7981
1999-10-29,1926.1131,459.7356,1721.3479,432.743,837.85,536.88,2341.56,181.3902,299.2,2694.3623
1999-11-30,1965.2593,487.1753,1780.7092,471.5836,837.79,543.19,2303.47,189.6623,290.7,3030.8601
1999-12-31,2080.9786,542.2707,1939.7671,531.6414,833.75,549.3,2376.42,194.5372,288.0,3788.3985
2000-01-31,1976.4252,533.5489,1815.2088,534.78,831.02,546.93,2384.25,206.3651,283.5,3647.6833
2000-02-29,1938.9957,621.6498,1863.8146,541.8417,841.07,547.99,2355.84,216.0089,292.2,4359.9583
2000-03-31,2128.689,580.6629,1938.6154,544.7677,852.15,536.47,2433.3,206.8815,279.08,4493.7262
2000-04-28,2064.6332,545.7448,1838.4779,493.344,849.71,537.33,2596.8,203.2085,273.55,3855.6135
2000-05-31,2022.2614,513.9341,1797.4334,472.7196,849.32,531.82,2622.34,223.2031,272.1,3396.8272
2000-06-30,2072.1154,558.5145,1869.4244,488.8076,866.99,542.65,2689.61,235.7137,289.53,3846.1699
2000-07-31,2039.846,540.545,1790.6937,463.5617,874.86,546.79,2924.69,213.3268,277.25,3688.4327
2000-08-31,2166.5507,581.6746,1807.1534,465.5249,887.54,550.53,2805.99,244.3988,277.85,4167.1201
2000-09-29,2052.166,564.5676,1719.6786,424.8846,893.12,545.72,2895.27,237.4833,274.25,3649.0177
2000-10-31,2043.4791,539.3617,1678.102,394.0469,899.03,528.24,2769.93,236.7139,265.15,3354.4573
2000-11-30,1882.3814,483.9929,1614.6216,359.5595,913.73,507.32,2805.5,256.384,270.45,2561.744
2000-12-29,1891.5811,525.5496,1671.2833,368.1306,930.68,517.12,3002.97,246.9237,272.25,2393.2871
2001-01-31,1958.692,552.8957,1670.5131,419.2623,945.9,555.86,3034.31,226.9736,265.85,2650.2637
2001-02-28,1780.0799,516.6083,1545.7843,386.2844,954.14,563.26,2985.85,221.9866,267.15,1950.5525
2001-03-30,1667.3124,491.3358,1443.5815,347.808,958.93,550.0,3014.83,212.7381,257.95,1608.1465
2001-04-30,1796.8656,529.7608,1545.4903,364.6896,954.95,543.15,3086.75,224.2305,264.05,1896.3746
2001-05-31,1808.9027,542.7783,1493.1901,368.9357,960.71,552.93,3161.48,217.6236,265.85,1839.9908
2001-06-29,1764.8643,561.5176,1433.9852,361.3034,964.34,537.42,3346.78,202.6644,270.85,1870.9745
2001-07-31,1747.4735,531.2426,1408.166,338.3018,985.9,545.33,3280.3,201.72,266.65,1721.2266
2001-08-31,1638.0833,514.0853,1372.8462,334.8679,997.19,551.76,3400.25,203.0028,274.4,1502.6579
2001-09-28,1505.7828,444.8672,1233.7338,283.077,1008.81,514.68,3259.05,181.7182,293.25,1194.5789
2001-10-31,1534.4735,470.902,1265.6209,300.6521,1029.92,527.41,3165.8,175.3805,279.65,1395.4782
2001-11-30,1652.1913,507.3484,1312.6206,332.1883,1015.72,546.65,3340.02,169.575,274.4,1632.0647
2001-12-31,1666.6637,538.6561,1320.4529,359.2343,1009.27,544.42,3421.37,169.1572,278.95,1612.6436
2002-01-31,1642.3564,533.0543,1250.4076,371.062,1017.44,548.21,3428.08,166.0257,282.55,1585.237
2002-02-28,1610.648,518.4387,1259.2737,376.9043,1027.3,540.56,3494.18,176.5311,296.55,1390.1295
2002-03-29,1671.2229,560.0991,1328.0589,399.2804,1010.21,553.57,3703.79,201.2279,302.65,1485.8553
2002-04-30,1569.8761,565.203,1337.7488,401.722,1029.8,562.2,3735.37,204.2329,308.45,1306.2044
2002-05-31,1558.31,540.1256,1356.1114,395.0207,1038.55,559.3,3785.94,194.2879,326.55,1236.0098
2002-06-28,1447.4348,513.3228,1302.8533,365.2466,1047.53,518.06,3889.42,202.7765,314.45,1075.4939
2002-07-31,1334.6123,435.7917,1174.3204,337.3485,1060.17,495.43,3685.98,203.4048,303.55,984.281
2002-08-30,1343.346,434.6813,1172.021,342.5108,1078.07,509.56,3678.77,215.2304,312.75,964.2104
2002-09-30,1197.349,403.4619,1046.5741,305.5495,1095.53,502.87,3537.59,227.5257,323.55,851.8127
2002-10-31,1302.7384,416.3958,1102.9134,325.4997,1090.54,498.48,3367.35,217.423,317.75,1012.5562
2002-11-29,1379.4156,453.5399,1153.1063,347.9565,1090.25,529.36,3525.92,217.5085,318.15,1142.1992
2002-12-31,1298.3721,428.2747,1114.5735,337.853,1112.77,536.76,3552.1,235.1541,348.05,1007.3945
2003-01-31,1264.3581,416.4217,1068.138,336.1197,1113.72,554.63,3448.83,253.4514,368.15,1006.1364
2003-02-28,1245.3875,403.8369,1043.7543,325.7446,1129.14,561.47,3505.89,278.572,349.95,1034.0766
2003-03-31,1257.4674,409.0381,1024.2464,316.3264,1128.26,577.62,3576.08,232.2788,337.45,1043.232
2003-04-30,1361.0217,447.8219,1125.8588,344.3481,1137.57,611.89,3733.31,215.6376,338.55,1132.8248
2003-05-30,1432.7229,495.8796,1195.2018,369.026,1158.78,618.21,3958.77,235.2415,364.45,1227.0502
2003-06-30,1450.9866,504.8513,1225.0223,390.1507,1156.48,635.99,4044.88,233.2028,346.4,1230.9686
2003-07-31,1476.5201,536.4349,1254.8897,414.4279,1117.6,629.0,4261.36,233.1563,354.35,1308.2051
2003-08-29,1505.3015,561.0288,1285.514,442.2845,1125.02,636.23,4284.18,242.459,375.55,1374.2556
2003-09-30,1489.3156,550.6632,1325.6031,445.8582,1154.8,653.62,4429.85,232.6344,385.35,1335.8991
2003-10-31,1573.4976,596.8951,1408.3214,483.596,1144.03,666.82,4509.88,238.4895,384.25,1452.2598
2003-11-28,1587.3167,618.0066,1439.8418,489.2607,1146.77,676.93,4706.49,245.8032,398.15,1460.5383
2003-12-31,1670.5528,630.7221,1552.7522,526.4672,1158.44,692.26,4871.12,260.5434,415.45,1505.3427
2004-01-30,1701.2137,658.0973,1574.8298,543.8377,1167.76,705.47,5081.85,260.088,402.45,1531.2736
2004-02-27,1724.8429,664.0229,1611.5725,568.4549,1180.4,703.7,5170.71,278.6556,396.15,1508.3613
2004-03-31,1698.8188,670.1318,1621.592,575.1733,1189.24,708.48,5456.47,282.1227,426.45,1475.5906
2004-04-30,1672.1609,635.9588,1586.2673,528.0818,1158.3,703.66,4660.84,289.5122,386.75,1437.788
