Date,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU
2001-12-31,1666.6637,538.6561,1320.4529,359.2343,1009.27,544.42,3421.37,169.1572,278.95
2002-01-31,1642.3564,533.0543,1250.4076,371.062,1017.44,548.21,3428.08,166.0257,282.55
2002-02-28,1610.648,518.4387,1259.2737,376.9043,1027.3,540.56,3494.18,176.5311,296.55
2002-03-29,1671.2229,560.0991,1328.0589,399.2804,1010.21,553.57,3703.79,201.2279,302.65
2002-04-30,1569.8761,565.203,1337.7488,401.722,1029.8,562.2,3735.37,204.2329,308.45
2002-05-31,1558.31,540.1256,1356.1114,395.0207,1038.55,559.3,3785.94,194.2879,326.55
2002-06-28,1447.4348,513.3228,1302.8533,365.2466,1047.53,518.06,3889.42,202.7765,314.45
2002-07-31,1334.6123,435.7917,1174.3204,337.3485,1060.17,495.43,3685.98,203.4048,303.55
2002-08-30,1343.346,434.6813,1172.021,342.5108,1078.07,509.56,3678.77,215.2304,312.75
2002-09-30,1197.349,403.4619,1046.5741,305.5495,1095.53,502.87,3537.59,227.5257,323.55
2002-10-31,1302.7384,416.3958,1102.9134,325.4997,1090.54,498.48,3367.35,217.423,317.75
2002-11-29,1379.4156,453.5399,1153.1063,347.9565,1090.25,529.36,3525.92,217.5085,318.15
2002-12-31,1298.3721,428.2747,1114.5735,337.853,1112.77,536.76,3552.1,235.1541,348.05
2003-01-31,1264.3581,416.4217,1068.138,336.1197,1113.72,554.63,3448.83,253.4514,368.15
2003-02-28,1245.3875,403.8369,1043.7543,325.7446,1129.14,561.47,3505.89,278.572,349.95
2003-03-31,1257.4674,409.0381,1024.2464,316.3264,1128.26,577.62,3576.08,232.2788,337.45
2003-04-30,1361.0217,447.8219,1125.8588,344.3481,1137.57,611.89,3733.31,215.6376,338.55
2003-05-30,1432.7229,495.8796,1195.2018,369.026,1158.78,618.21,3958.77,235.2415,364.45
2003-06-30,1450.9866,504.8513,1225.0223,390.1507,1156.48,635.99,4044.88,233.2028,346.4
2003-07-31,1476.5201,536.4349,1254.8897,414.4279,1117.6,629.0,4261.36,233.1563,354.35
2003-08-29,1505.3015,561.0288,1285.514,442.2845,1125.02,636.23,4284.18,242.459,375.55
2003-09-30,1489.3156,550.6632,1325.6031,445.8582,1154.8,653.62,4429.85,232.6344,385.35
2003-10-31,1573.4976,596.8951,1408.3214,483.596,1144.03,666.82,4509.88,238.4895,384.25
2003-11-28,1587.3167,618.0066,1439.8418,489.2607,1146.77,676.93,4706.49,245.8032,398.15
2003-12-31,1670.5528,630.7221,1552.7522,526.4672,1158.44,692.26,4871.12,260.5434,415.45
2004-01-30,1701.2137,658.0973,1574.8298,543.8377,1167.76,705.47,5081.85,260.088,402.45
2004-02-27,1724.8429,664.0229,1611.5725,568.4549,1180.4,703.7,5170.71,278.6556,396.15
2004-03-31,1698.8188,670.1318,1621.592,575.1733,1189.24,708.48,5456.47,282.1227,426.45
2004-04-30,1672.1609,635.9588,1586.2673,528.0818,1158.3,703.66,4660.84,289.5122,386.75
2004-05-31,1695.0812,646.0753,1593.1601,517.6102,1153.66,691.74,4993.06,301.4126,395.55
2004-06-30,1728.0534,673.2993,1628.9051,520.6184,1160.18,701.66,5139.48,286.3553,394.25
2004-07-30,1670.8548,627.9664,1576.1838,511.1633,1171.68,711.2,5156.42,307.4776,391.05
2004-08-31,1677.5993,624.7146,1583.7794,532.5474,1194.03,725.15,5565.66,295.5954,409.85
2004-09-30,1695.7587,654.0466,1625.9728,563.3537,1197.27,735.68,5562.34,337.7328,418.25
2004-10-29,1721.6716,666.9083,1681.1462,576.9586,1207.31,748.97,5860.44,355.2492,428.55
2004-11-30,1791.3253,724.6096,1796.6481,630.412,1197.68,758.0,6112.63,342.5017,450.95
2004-12-31,1852.2367,745.9915,1875.6113,663.4101,1208.7,769.3,6409.3,310.4673,438.45
2005-01-31,1807.0862,714.8462,1841.4444,664.0286,1216.29,768.3,5871.11,331.4828,422.6
2005-02-28,1845.1113,726.9387,1921.6707,721.1122,1209.11,779.6,6051.17,355.8531,435.65
2005-03-31,1812.4369,706.0817,1874.5537,673.5815,1202.9,756.93,5957.39,383.6221,428.35
2005-04-29,1778.0681,665.6414,1832.6149,655.6271,1219.18,749.55,6274.28,353.6854,434.4
2005-05-31,1834.6401,709.2068,1835.4894,678.4953,1232.37,762.86,6491.75,354.8881,417.25
2005-06-30,1837.248,736.5555,1860.7347,702.2475,1239.09,777.83,6818.11,379.7879,435.5
2005-07-29,1905.569,783.2146,1917.9788,751.8717,1227.82,791.43,7304.67,401.999,429.8
2005-08-31,1888.1843,768.6614,1967.395,758.6002,1243.56,792.94,7037.59,465.1507,435.2
2005-09-30,1903.4768,771.0962,2055.6716,829.3221,1230.74,785.03,7079.51,469.5595,469.3
2005-10-31,1871.7529,747.1482,1995.707,775.112,1221.0,779.55,6912.01,422.8763,465.19
2005-11-30,1942.5412,783.3261,2045.2578,839.3099,1226.4,783.62,7203.25,415.9086,493.08
2005-12-30,1943.1248,779.6487,2140.6217,891.2354,1238.06,790.35,7188.84,431.7214,517.0
2006-01-31,1994.5872,849.564,2272.1965,989.5744,1238.13,802.96,7714.01,453.9183,568.9
2006-02-28,1999.9796,847.1973,2267.8693,987.8944,1242.24,808.32,7852.02,415.8627,561.55
2006-03-31,2024.8551,888.314,2344.2285,996.9938,1230.05,813.16,8248.59,442.519,583.65
2006-04-28,2052.038,888.1322,2457.7962,1067.8344,1227.82,818.17,7942.04,474.7863,654.43
2006-05-31,1992.9807,838.2467,2365.3556,956.0629,1226.51,818.06,7715.96,474.5546,645.2
2006-06-30,1995.6231,843.6073,2366.4457,954.0525,1229.11,815.19,8117.39,484.6753,615.85
2006-07-31,2007.9394,816.1288,2390.0564,967.8921,1245.73,823.17,8391.19,498.2476,636.75
2006-08-31,2055.7176,840.2673,2456.8241,992.9564,1264.8,836.52,8708.79,465.868,627.3
2006-09-29,2108.6435,847.3358,2461.5587,1001.3485,1275.91,848.38,8869.74,428.0533,598.3
2006-10-31,2177.347,896.1193,2557.5163,1049.2384,1284.35,859.92,9425.35,429.2243,606.6
2006-11-30,2218.7546,919.5273,2634.8436,1127.1672,1299.25,874.37,9863.5,463.6554,648.0
2006-12-29,2249.6859,922.5565,2717.7939,1180.9959,1291.71,883.97,9709.31,433.6465,636.7
2007-01-31,2283.7045,937.9887,2736.3751,1167.3245,1291.18,893.84,10526.96,427.2178,653.2
2007-02-28,2239.0473,930.5236,2759.1945,1160.0282,1311.09,906.34,10291.24,448.4914,669.35
2007-03-30,2264.0564,940.4915,2831.4611,1205.9337,1311.13,907.3,10045.6,468.115,663.8
2007-04-30,2364.354,957.4499,2959.7004,1261.701,1318.2,919.09,10043.61,474.4641,678.45
2007-05-31,2446.8344,996.6658,3015.4043,1324.8915,1308.21,925.96,10048.86,470.648,660.5
2007-06-29,2406.1613,982.242,3020.4788,1386.6971,1304.34,909.33,9137.56,489.152,649.65
2007-07-31,2331.5649,914.9666,2976.0374,1460.4495,1315.22,877.13,8424.63,515.941,664.3
2007-08-31,2366.5101,935.6503,2930.7653,1430.0716,1331.34,889.09,8978.24,495.304,673.3
2007-09-28,2454.9903,951.7016,3088.4935,1588.2296,1341.44,912.36,9373.8,546.133,743.6
2007-10-31,2494.0404,979.0074,3210.1615,1765.4783,1353.49,917.83,9478.84,599.31,796.8
2007-11-30,2391.7077,908.6731,3105.855,1640.7361,1377.83,897.92,8619.15,577.987,783.55
2007-12-31,2375.0237,907.9509,3036.1944,1649.9529,1381.7,900.54,8185.75,610.169,833.7
2008-01-31,2232.5629,846.0124,2756.0563,1443.1194,1404.91,888.52,8101.79,608.378,926.1
2008-02-29,2160.0274,814.6425,2796.8853,1548.5758,1406.86,876.4,7813.51,679.778,973.9
2008-03-31,2150.6891,818.0271,2769.2725,1466.9813,1411.66,873.38,8300.4,668.913,916.9
2008-04-30,2255.4459,852.2719,2923.0978,1586.1841,1408.71,911.02,8786.74,721.067,877.55
2008-05-30,2284.6594,891.4206,2957.4404,1616.6746,1398.38,914.31,8854.47,786.583,886.5
2008-06-30,2092.0358,822.7941,2716.4181,1455.2001,1397.26,888.75,7891.5,862.809,925.4
2008-07-31,2074.4497,853.2311,2629.4337,1401.2405,1396.11,876.91,8165.42,760.199,914.1
2008-08-29,2104.4608,884.0391,2524.0275,1289.8444,1409.36,879.98,8345.81,708.156,831.15
2008-09-30,1916.9211,813.593,2160.193,1064.2424,1390.43,809.78,8329.68,622.237,870.95
2008-10-31,1594.9726,644.2908,1724.3381,773.192,1357.61,680.97,5691.82,449.461,723.85
