Date,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU,validation_loss,delta,gamma,epsilon,wB,wW,wT,wI,cn_CIQ,ann_port_vol_val,iq_method,best_epoch
2003-08-29,0.142333,0.060915,0.074614,0.123065,0.188739,0.141347,0.094563,0.108603,0.06582,-0.877382,1.515197,0.013314,2.672189,0.197568,0.200231,0.231197,0.371004,1.38662,4.363809,iq1,13
2003-09-30,0.1435499936342239,0.0609590001404285,0.0761199966073036,0.1188860014081001,0.1867499947547912,0.1403339952230453,0.0988280028104782,0.1071569994091987,0.0674170032143592,-1.027807,1.508941,0.020067,2.93982,0.200375,0.191481,0.208986,0.399158,1.369223,4.351613,iq1,0
2003-10-31,0.1157440021634101,0.0641990005970001,0.0505880005657672,0.1170910000801086,0.1834139972925186,0.1447219997644424,0.1563789993524551,0.1019449979066848,0.0659170001745224,-0.678854,1.526641,0.045796,4.105045,0.190501,0.268615,0.158611,0.382273,1.396634,4.913565,iq1,0
2003-11-28,0.1106610000133514,0.0671959966421127,0.0520199984312057,0.1003149971365928,0.182787999510765,0.1482910066843032,0.1953179985284805,0.0785150006413459,0.0648970007896423,-0.675701,1.548835,0.079955,5.211403,0.183025,0.207858,0.087547,0.52157,1.302086,4.99098,iq1,12
2003-12-31,0.1121470034122467,0.0656920000910759,0.0534389987587928,0.1012749969959259,0.1865279972553253,0.1488679945468902,0.1835920065641403,0.0813070014119148,0.0671520009636879,-0.661275,1.549914,0.083729,5.789336,0.21657,0.227445,0.077248,0.478737,1.33183,4.85079,iq1,0
2004-01-30,0.1052599996328353,0.0670550018548965,0.053872000426054,0.0988980010151863,0.1900629997253418,0.1513029932975769,0.1831919997930526,0.0832099989056587,0.0671470016241073,-0.726638,1.537814,0.081816,6.429747,0.182947,0.187753,0.077223,0.552077,1.286469,4.964623,iq1,10
2004-02-27,0.1037570014595985,0.0666579976677894,0.0523080006241798,0.09774199873209,0.186489000916481,0.1504029929637909,0.1975419968366623,0.0798460021615028,0.0652550011873245,-0.632598,1.538588,0.084052,7.227578,0.21735,0.211295,0.070867,0.500488,1.347568,5.167888,iq1,0
2004-03-31,0.0902450010180473,0.068291001021862,0.0494260005652904,0.0735400021076202,0.2006320059299469,0.1535740047693252,0.1972880065441131,0.0804150030016899,0.0865890011191368,-0.597476,1.539984,0.086386,8.847901,0.271381,0.197983,0.053978,0.476658,1.307744,5.052908,iq1,6
2004-04-30,0.08746899664402,0.0722159966826438,0.0500129982829093,0.0738670006394386,0.197404995560646,0.1609790027141571,0.1892199963331222,0.0821240022778511,0.0867070034146308,-0.963936,1.531748,0.087161,10.926822,0.233088,0.200637,0.035506,0.530769,1.274147,4.338563,iq1,9
2004-05-31,0.0846510007977485,0.0706849992275238,0.0505140013992786,0.0731149986386299,0.1999109983444214,0.1617300063371658,0.1881159991025924,0.0823410004377365,0.0889360010623931,-0.804443,1.53114,0.086993,12.245704,0.307377,0.201877,0.033548,0.457198,1.32327,4.477855,iq1,0
2004-06-30,0.0745090022683143,0.0708890035748481,0.0507239997386932,0.0746629983186721,0.197176992893219,0.1538950055837631,0.2006420046091079,0.0809570029377937,0.0965439975261688,-0.76535,1.530477,0.08783,11.739502,0.350526,0.141583,0.028764,0.479127,1.284025,4.617358,iq1,0
2004-07-30,0.0652720034122467,0.0708199962973594,0.0506680011749267,0.0731619969010353,0.1980299949645996,0.1562519967555999,0.2074269950389862,0.0805530026555061,0.0978159978985786,-0.829566,1.536432,0.088467,11.867502,0.383888,0.086907,0.018147,0.511058,1.218731,4.565819,iq1,10
2004-08-31,0.0579110011458396,0.0667740032076835,0.0489539988338947,0.0705209970474243,0.2013400048017501,0.1544640064239502,0.2201980054378509,0.0810619965195655,0.0987759977579116,-0.769533,1.534011,0.09034,12.6192,0.466946,0.069589,0.01454,0.448925,1.235954,4.579352,iq1,0
2004-09-30,0.0324730016291141,0.0673730000853538,0.0491940006613731,0.0720240026712417,0.21526600420475,0.1543720066547393,0.2264620065689087,0.0814699977636337,0.1013650000095367,-0.661146,1.535485,0.093682,14.783258,0.555707,0.038911,0.007357,0.398026,1.225202,4.645565,iq1,12
2004-10-29,0.0320979990065097,0.0645930022001266,0.0491379983723163,0.0740439966320991,0.2160869985818863,0.1536599993705749,0.222009003162384,0.060063000768423,0.1283079981803894,-0.668162,1.55679,0.09406,16.086849,0.455535,0.033611,0.005874,0.504981,1.182991,4.590683,iq1,4
2004-11-30,0.0298079997301101,0.064799003303051,0.0505639985203743,0.0748569965362548,0.2156569957733154,0.1550730019807815,0.2221439927816391,0.0604569986462593,0.1266400068998336,-0.704343,1.552794,0.094305,16.23432,0.461601,0.029644,0.004856,0.503899,1.198126,4.608495,iq1,11
2004-12-31,0.0279539991170167,0.0625829994678497,0.0525720007717609,0.0770900025963783,0.2167360037565231,0.1550700068473816,0.2222909927368164,0.0563029982149601,0.1293999999761581,-0.642727,1.554413,0.094673,15.823749,0.546605,0.027901,0.00453,0.420964,1.20738,4.589684,iq1,2
2005-01-31,0.0271339993923902,0.0611120015382766,0.0530750006437301,0.078075997531414,0.2204030007123947,0.1573310047388076,0.2169059962034225,0.0475520007312297,0.1384110003709793,-0.824455,1.562678,0.09583,17.866803,0.550931,0.016737,0.002335,0.429997,1.210194,4.31256,iq1,0
2005-02-28,0.0221820008009672,0.059223998337984,0.053006999194622,0.0768529996275901,0.2213679999113083,0.1562779992818832,0.2176609933376312,0.0562659986317157,0.1371610015630722,-0.747937,1.550039,0.095505,18.727211,0.420549,0.015699,0.002507,0.561245,1.148164,4.344565,iq1,9
2005-03-31,0.0213270001113414,0.058288998901844,0.0539380013942718,0.0768800005316734,0.2236959934234619,0.1558369994163513,0.217967003583908,0.0567350015044212,0.1353289932012558,-0.813654,1.551117,0.095809,19.447674,0.468993,0.012826,0.002057,0.516124,1.141793,4.285645,iq1,9
2005-04-29,0.0202370006591081,0.05876399949193,0.0541779994964599,0.0782189965248107,0.2258830070495605,0.1567209959030151,0.2168820053339004,0.0565610006451606,0.1325549930334091,-0.860603,1.553045,0.096557,20.420676,0.542351,0.009639,0.001431,0.446579,1.167838,4.198385,iq1,6
2005-05-31,0.0222869999706745,0.0606959983706474,0.0578069984912872,0.0805910006165504,0.2269279956817627,0.1624169945716858,0.2025229930877685,0.0567979998886585,0.129952996969223,-0.832376,1.55026,0.095762,20.425903,0.567565,0.010775,0.001806,0.419854,1.152458,4.048471,iq1,1
2005-06-30,0.0225699990987777,0.0614579990506172,0.0604760013520717,0.0854159966111183,0.22672900557518,0.1611839979887008,0.1967750042676925,0.0576849989593029,0.1277060061693191,-0.633804,1.548113,0.095063,20.560252,0.561258,0.010121,0.001823,0.426799,1.159643,4.241729,iq1,2
2005-07-29,0.0245830006897449,0.0620770007371902,0.066099002957344,0.0917249992489814,0.2272520065307617,0.162441000342369,0.1777999997138977,0.0619900003075599,0.1260329931974411,-0.491981,1.546587,0.092596,20.421505,0.542894,0.012169,0.002533,0.442404,1.176557,4.229415,iq1,1
2005-08-31,0.0253040008246898,0.0604939982295036,0.0693169981241226,0.0966830030083656,0.2244839966297149,0.1630579978227615,0.169635996222496,0.0648579970002174,0.1261679977178573,-0.536846,1.545514,0.090484,20.980841,0.542007,0.011065,0.002262,0.444666,1.175111,4.161939,iq1,1
2005-09-30,0.0272380001842975,0.0609520003199577,0.0688859969377517,0.1017000004649162,0.2249570041894912,0.1627449989318847,0.161323994398117,0.0662539973855018,0.1259440034627914,-0.640751,1.537113,0.087049,21.096193,0.509288,0.011947,0.002583,0.476182,1.176573,4.20927,iq1,3
2005-10-31,0.0280629992485046,0.0614910013973712,0.0721770003437995,0.1061939969658851,0.2270310074090957,0.1618349999189376,0.1437190026044845,0.0767460018396377,0.1227440014481544,-0.882453,1.525152,0.081835,21.653685,0.532853,0.009235,0.001931,0.455981,1.15663,4.065334,iq1,2
2005-11-30,0.028881000354886,0.0615549981594085,0.0771789997816085,0.1057310029864311,0.2280489951372146,0.1651680022478103,0.1438169926404953,0.0650660023093223,0.1245549991726875,-0.644025,1.545292,0.074864,21.77303,0.452263,0.007358,0.001469,0.53891,1.13908,4.239995,iq1,7
2005-12-30,0.0291070006787776,0.0614150017499923,0.0790219977498054,0.1072499975562095,0.2272160053253173,0.1663369983434677,0.1429399996995926,0.0622069984674453,0.1245059967041015,-0.588529,1.550649,0.07659,21.904482,0.451313,0.006291,0.001207,0.541189,1.165779,4.280663,iq1,7
2006-01-31,0.0290740001946687,0.0595390014350414,0.0821660012006759,0.1071180030703544,0.2245319932699203,0.1658889949321746,0.1370739936828613,0.0643989965319633,0.1302089989185333,-0.372732,1.536374,0.077482,21.630971,0.511505,0.005676,0.001153,0.481666,1.208057,4.405622,iq1,0
2006-02-28,0.0257460009306669,0.0579690001904964,0.0838380008935928,0.1068100035190582,0.2257120013236999,0.16525499522686,0.1295360028743744,0.0717620030045509,0.1333719938993454,-0.444926,1.539505,0.072305,21.914265,0.49781,0.005429,0.001105,0.495656,1.208104,4.462793,iq1,4
2006-03-31,0.0245319996029138,0.0550559982657432,0.085547998547554,0.1044960021972656,0.2256959974765777,0.1681790053844452,0.1222200021147728,0.0772989988327026,0.1369740068912506,-0.365561,1.529596,0.07189,22.058304,0.523901,0.004616,0.000976,0.470507,1.211661,4.515094,iq1,2
2006-04-28,0.0269130002707242,0.056862998753786,0.0879240036010742,0.1059100031852722,0.2196410000324249,0.1704860031604766,0.1236020028591156,0.0701560005545616,0.1385049968957901,-0.368566,1.533147,0.068934,22.065609,0.515469,0.003673,0.000765,0.480093,1.214047,4.543444,iq1,0
2006-05-31,0.028626000508666,0.0567989982664585,0.0907479971647262,0.1091979965567588,0.2221599966287613,0.1714069992303848,0.1163899973034858,0.0702510029077529,0.1344220042228698,-0.531984,1.537068,0.063171,22.133572,0.471264,0.003749,0.000866,0.524121,1.181984,4.30306,iq1,6
